case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R05-C04","ji","木水","木水","1","-","集合一致","无","无"
"R05-C04","pattern_name","建禄格用食神","建禄格","1","-","卯为乙禄，主体格名一致","无","无"
"R05-C04","pattern_status","巳亥冲损食神及藏财官，结构受损","破格","1","-","双方均认为制化不稳","无","无"
"R05-C05","strength","身强","偏弱","0","独立判断错误/待复核","冻结判断漏计辰戌冲对两处土根的破坏，网站偏弱更有依据","会反转喜用忌","保留冻结记录并扩大辰戌冲根样本"
"R05-C05","yong","水","火","0","随旺衰差异","独立按身强取财，网站按偏弱取印","核心用神反转","先纠正旺衰再评价"
"R05-C05","xi","木","火土","0","随旺衰差异","两套旺衰前提相反","公开方向不同","不据此改引擎"
"R05-C05","ji","火土","木金水","0","随旺衰差异","两套旺衰前提相反","公开方向相反","不据此改引擎"
"R05-C05","pattern_name","七杀格兼食伤制杀","七杀格","1","-","寅中甲杀当令，主体格名一致","无","无"
"R05-C05","pattern_status","制杀偏重、需财通关的边界","成格","0","流派口径差异","网站接受食神制杀且日主偏弱仍可承载，独立担心制杀过度","成格程度不同","增加食伤强弱对照"
"R05-C06","strength","中和偏强","偏弱","0","证据不足","双方对丑戌根、庚酉泄和卯酉冲权重不同","会影响喜用顺序","扩大卯酉冲月令样本"
"R05-C06","yong","木","土","0","随旺衰差异","独立按偏强取杀，网站按偏弱取比劫","核心用神反转","先复核旺衰"
"R05-C06","xi","水","土火","0","随旺衰差异","两套旺衰前提不同","公开方向不同","暂不改规则"
"R05-C06","ji","火土，金过量不宜","木金水","0","随旺衰差异","两套旺衰前提不同","公开方向反转","暂不改规则"
"R05-C06","pattern_name","七杀格兼伤官制杀","七杀格","1","-","主体格名一致且网站已识别伤官制杀","无","无"
"R05-C06","pattern_status","月令受冲、财党杀且制化不稳","破格","1","-","双方均认为结构受损","无","无"
"R05-C07","strength","中和偏弱","偏弱","1","-","巳杀、甲财癸伤与己戌未印并存","方向一致","无"
"R05-C07","yong","水","土","0","流派口径差异","独立取癸水润燥制杀，网站取印生身","核心用神不同","复核燥土印与调候优先级"
"R05-C07","xi","金","土金","0","流派口径差异","网站集合包含核心用神土","集合语义不同","区分核心与辅助"
"R05-C07","ji","火木及燥土","木火水","0","流派口径差异","网站把水伤官列忌，独立以水制杀润燥","调候方向相反","增加同构盘"
"R05-C07","pattern_name","七杀格兼伤官制杀、印化杀、财党杀","杀印相生格","0","流派口径差异","网站按己巳同柱取杀印相生，独立保留三路制化","格名范围不同","显示完整机制"
"R05-C07","pattern_status","三路相互牵制的边界","成格","0","明确程序状态矛盾","网站两个条件均为false且详情写通路中断，却仍isEstablished=true","公开状态与自身条件相反","修复前先征求用户确认"
"R05-C08","strength","中和偏弱","偏弱","1","-","双亥杀与双午根、甲印并存","方向一致","无"
"R05-C08","yong","木","火","0","流派口径差异","独立先取印化杀，网站先取比劫扶身","核心扶身手段先后不同","保留双午承载证据"
"R05-C08","xi","火","火木","0","流派口径差异","网站集合包含核心用神火","集合语义不同","区分核心与辅助"
"R05-C08","ji","水金，土条件性可用","金水土","0","流派口径差异","网站按偏弱把土伤官列忌，独立认为少量可制水","土用量不同","保留条件"
"R05-C08","pattern_name","七杀格兼伤官制杀、印化杀、财党杀","伤官制杀格","0","流派口径差异","网站突出己伤官制亥杀，独立保留多路制化","格名侧重不同","无"
"R05-C08","pattern_status","制化相持边界","成格","0","证据不足","网站判制神部分有效仍成格，独立更保守","成格程度不同","扩大双根承载样本"
"R05-C09","strength","极弱不从","极弱不从","1","-","酉印孤根保留逆势力量","无","无"
"R05-C09","yong","金","金","1","-","印星生水并制木","无","无"
"R05-C09","xi","水","金水","0","流派口径差异","网站喜神集合包含核心用神金","集合语义不同","区分用神与喜神"
"R05-C09","ji","木火土","木火土","1","-","集合一致","无","无"
"R05-C09","pattern_name","食神制杀兼财官成势","食神格","1","-","寅中甲食神当令，主体格名一致","无","保留制杀机制"
"R05-C09","pattern_status","身极弱难承载，结构受损","破格","1","-","双方均判破格","无","无"
"R05-C10","strength","极强","极强","1","-","三卯、子印与乙劫","无","无"
"R05-C10","yong","火","金","0","流派口径差异","独立取现有丁火泄秀，网站按羊刃优先补无根金官杀","核心取用不同","继续复核羊刃泄秀门槛"
"R05-C10","xi","土，金条件性可用","金火土","0","流派口径差异","网站集合包含核心用神金及火土","集合语义不同","展示主次"
"R05-C10","ji","木水","木水","1","-","集合一致","无","无"
"R05-C10","pattern_name","羊刃格用伤官生财、曲直边界","羊刃格","1","-","卯为甲帝旺，主体格名一致","无","无"
"R05-C10","pattern_status","已有伤官财路径可用","破格","0","流派口径差异","网站只认官杀制刃，独立接受伤官泄秀","成格门槛不同","暂不改算法"
"R05-C07","compound_condition_status_consistency","两个关键条件未满足且都写通路中断，不应同时显示成格","杀印相生格显示印星不被财破=false、官杀不被食伤制死=false，但breakReasons为空、isEstablished=true","0","明确程序状态矛盾","同柱复合格只生成conditions，财破印和伤官克官未同步进入breakReasons；状态只按breakReasons计算","用户看到条件断裂却被告知成格","统一条件与状态；至少一个硬性通路条件失败时不得显示成格"
"R05-C09","foodgod_wealth_presence_consistency","午中财星存在，应写财藏支未透而非缺财星","条件写缺财星转化；同一结果elementReasons明确火财见于日柱地支","0","明确程序显示问题","食神生财条件只统计天干财星，没有检查地支藏财","同一报告一处确认财存在，一处声称缺财","保持极弱和破格不变，只分层披露财藏支未透"
