set,id,gz,dg,mz,mwx,dead,csl,cslPos,yinPath,yGanYin,yinRootPos,yinDeSheng,strong,heDesc,chongDesc,shaCount,shaTou,dgRootPos,oldBonus,m1Tier,m1Bonus,m2Tier,m2Bonus,m3Tier,m3Bonus,before,afterBASE,afterM1,afterM2,afterM3,crossBASE,crossM1,crossM2,crossM3,sBase,sM1,sM2,sM3,lBase,lM1,lM2,lM3,yBase,yM1,yM2,yM3,xiBase,xiM1,xiM2,xiM3,jiBase,jiM1,jiM2,jiM3,pBase,pM1,pM2,pM3,cong,short,flags
"22基线","A1","甲辰 丙寅 戊午 庚申","戊","寅","木","true","true","寅(长生)","月干","false","寅(丙)，午(丁)","true","false","","","2","甲(year)","辰(本气)，寅(藏戊)，午(藏己)，申(藏戊)","13","A","13","A","13","A","10","29","42","42","42","39","30/40","30/40","30/40","30","45","45","45","42","中和","中和","中和","中和","火","火","火","火","火、土","火、土","火、土","火、土","木、金","木、金","木、金","木、金","杀印相生格·破格","杀印相生格·破格","杀印相生格·破格","杀印相生格·破格","否","false",""
"22基线","A2","甲子 丁卯 己未 癸酉","己","卯","木","true","true","酉(长生)","月干","false","未(丁)","true","false","","","2","甲(year)","未(本气)","13","A","13","A","13","A","10","24","37","37","37","34","30","30","30","30","40","40","40","37","中和","中和","中和","偏弱","火","火","火","火","火、土","火、土","火、土","火、土","木、金、水","木、金、水","木、金、水","木、金、水","杀印相生格·破格","杀印相生格·破格","杀印相生格·破格","杀印相生格·破格","否","false","M3翻档"
"22基线","A3","丙申 庚寅 戊辰 丁巳","戊","寅","木","true","true","寅(长生)，巳(禄)","时干","true","寅(丙)，巳(丙)","true","true","","","1","","申(藏戊)，寅(藏戊)，辰(本气)，巳(藏戊)","13","A","13","A","13","A","10","42","55","55","55","52","50","50","50","50","56","56","56","53","中和","中和","中和","中和","水","水","水","水","水、金、木","水、金、木","水、金、木","水、金","火、土","火、土","火、土","","食神制杀格·破格","食神制杀格·破格","食神制杀格·破格","食神制杀格·破格","否","false","M3喜忌翻转"
"22基线","A4","辛亥 庚寅 己巳 庚午","己","寅","木","true","true","午(禄)","日支藏","false","寅(丙)，巳(丙)，午(丁)","true","false","","巳亥冲","1","","寅(藏戊)，巳(藏戊)，午(藏己)","13","A","13","C","3","C","3","19","32","32","22","22","30","30","","","32","32","22","22","偏弱","偏弱","极弱","极弱","火","火","火","火","火、土","火、土","火、土","火、土","木、金、水","木、金、水","木、金、水","木、金、水","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false","M2翻档;M3翻档"
"22基线","A5","壬辰 癸卯 戊戌 丁巳","戊","卯","木","true","true","巳(禄)","时干","false","戌(丁)，巳(丙)","true","false","丁壬合","戌辰冲","1","","辰(本气)，戌(本气)，巳(藏戊)","13","A","13","C","3","C","3","33","46","46","36","36","40","40","","","48","48","38","38","中和","中和","偏弱","偏弱","土","土","土","土","土","土","土、火","土、火","","","木、金、水","木、金、水","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false","M2翻档;M2喜忌翻转;M3翻档;M3喜忌翻转"
"22基线","A6","癸酉 乙卯 己丑 己巳","己","卯","木","true","true","酉(长生)","","false","巳(丙)","true","false","","","2","乙(month)","丑(本气)，巳(藏戊)","0","D","0","D","0","D","0","33","33","33","33","33","","","","","34","34","34","34","偏弱","偏弱","偏弱","偏弱","火","火","火","火","火、土","火、土","火、土","火、土","木、金、水","木、金、水","木、金、水","木、金、水","七杀格·破格","七杀格·破格","七杀格·破格","七杀格·破格","否","false",""
"22基线","B1","庚申 壬午 甲午 丙寅","甲","午","火","false","true","寅(禄)","","false","","false","false","","","2","庚(year)","寅(本气)","0","D","0","D","0","D","0","25","25","25","25","25","","","","","28","28","28","28","极弱","极弱","极弱","极弱","水","水","水","水","水、木","水、木","水、木","水、木","火、土、金","火、土、金","火、土、金","火、土、金","伤官配印格·破格","伤官配印格·破格","伤官配印格·破格","伤官配印格·破格","否","false",""
"22基线","B2","壬申 丁未 甲辰 乙丑","甲","未","土","false","false","","","false","","false","false","","","1","","未(藏乙)，辰(藏乙)","0","D","0","D","0","D","0","26","26","26","26","26","","","","","27","27","27","27","极弱","极弱","极弱","极弱","木","木","木","木","木、水","木、水","木、水","木、水","火、土、金","火、土、金","火、土、金","火、土、金","伤官格·破格","伤官格·破格","伤官格·破格","伤官格·破格","否","false",""
"22基线","B3","辛酉 丁酉 甲寅 乙丑","甲","酉","金","true","true","寅(禄)","","false","丑(癸)","true","false","","","3","辛(year)","寅(本气)","0","D","0","D","0","D","0","32","32","32","32","32","","","","","34","34","34","34","偏弱","偏弱","偏弱","偏弱","水","水","水","水","水、木","水、木","水、木","水、木","火、金、土","火、金、土","火、金、土","火、金、土","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false",""
"22基线","B4","戊辰 戊午 乙亥 戊寅","乙","午","火","false","true","午(长生)","","false","","false","false","","","0","","辰(藏乙)，亥(藏甲)，寅(本气)","0","D","0","D","0","D","0","35","35","35","35","35","","","","","36","36","36","36","偏弱","偏弱","偏弱","偏弱","木","木","木","木","木、水","木、水","木、水","木、水","金、火、土","金、火、土","金、火、土","金、火、土","食神生财格·成格","食神生财格·成格","食神生财格·成格","食神生财格·成格","否","false",""
"22基线","B5","庚子 甲申 乙卯 丙子","乙","申","金","true","true","卯(禄)","","false","子(癸)，申(壬)，子(癸)","true","false","","","2","庚(year)","卯(本气)","0","D","0","D","0","D","0","40","40","40","40","40","","","","","42","42","42","42","中和","中和","中和","中和","水","水","水","水","水、木","水、木","水、木","水、木","火、金、土","火、金、土","火、金、土","火、金、土","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false",""
"22基线","B6","丙申 己亥 丁卯 壬寅","丁","亥","水","true","false","","日支藏","false","亥(甲)，卯(乙)，寅(甲)","true","false","","","2","壬(hour)","寅(藏丙)","0","D","0","D","0","D","0","34","34","34","34","34","","","","","34","34","34","34","偏弱","偏弱","偏弱","偏弱","木","木","木","木","木、火","木、火","木、火","木、火","土、金、水","土、金、水","土、金、水","土、金、水","正官格·成格","正官格·成格","正官格·成格","正官格·成格","否","false",""
"六盘锚点","P15-03","乙丑 戊寅 己巳 庚午","己","寅","木","true","true","午(禄)","日支藏","false","寅(丙)，巳(丙)，午(丁)","true","false","","","2","乙(year)","丑(本气)，寅(藏戊)，巳(藏戊)，午(藏己)","13","A","13","A","13","A","10","36","49","49","49","46","40","40","40","40","51","51","51","48","中和","中和","中和","中和","火","火","火","火","火、水","火、水","火、水","火","","","","","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false","M3喜忌翻转"
"六盘锚点","P15-09","丁丑 癸卯 庚申 丙戌","庚","卯","木","false","true","申(禄)","","false","","false","false","","","2","丁(year)，丙(hour)","丑(藏辛)，申(本气)，戌(藏辛)","0","D","0","D","0","D","0","46","46","46","46","46","","","","","47","47","47","47","中和","中和","中和","中和","土","土","土","土","土","土","土","土","","","","","正财格·破格","正财格·破格","正财格·破格","正财格·破格","否","false",""
"六盘锚点","P15-12","戊子 甲寅 庚申 丁亥","庚","寅","木","false","true","申(禄)","","false","","false","false","","","1","丁(hour)","申(本气)","0","D","0","D","0","D","0","31","31","31","31","31","","","","","31","31","31","31","偏弱","偏弱","偏弱","偏弱","土","土","土","土","土、金","土、金","土、金","土、金","木、火、水","木、火、水","木、火、水","木、火、水","偏财格·破格","偏财格·破格","偏财格·破格","偏财格·破格","否","false",""
"六盘锚点","P15-14","丙寅 庚寅 戊辰 癸亥","戊","寅","木","true","true","寅(长生)，寅(长生)","","true","寅(丙)，寅(丙)","true","true","","","2","","寅(藏戊)，寅(藏戊)，辰(本气)","0","B","6","B","6","B","6","22","22","28","28","28","","","","","22","28","28","28","极弱","极弱","极弱","极弱","土","土","土","土","土、火","土、火","土、火","土、火","木、水、金","木、水、金","木、水、金","木、水、金","食神制杀格·破格","食神制杀格·破格","食神制杀格·破格","食神制杀格·破格","否","false",""
"六盘锚点","P15-15","癸未 戊午 乙卯 丙戌","乙","午","火","false","true","午(长生)，卯(禄)","","false","","false","false","","","0","","未(藏乙)，卯(本气)","0","D","0","D","0","D","0","29.75","29.75","29.75","29.75","29.75","","","","","29.75","29.75","29.75","29.75","极弱","极弱","极弱","极弱","木","木","木","木","木、水","木、水","木、水","木、水","金、火、土","金、火、土","金、火、土","金、火、土","食神生财格·破格","食神生财格·破格","食神生财格·破格","食神生财格·破格","否","false",""
"六盘锚点","P15-16","丁卯 壬寅 壬午 庚子","壬","寅","木","false","false","","","false","","false","false","","","0","","子(本气)","0","D","0","D","0","D","0","25","25","25","25","25","","","","","28","28","28","28","极弱","极弱","极弱","极弱","水","水","水","水","水、金","水、金","水、金","水、金","木、土、火","木、土、火","木、土、火","木、土、火","食神格·破格","食神格·破格","食神格·破格","食神格·破格","否","false",""
"18专项(观察)","H01","癸未 戊午 乙卯 丙戌","乙","午","火","false","true","午(长生)，卯(禄)","","false","","false","false","","","0","","未(藏乙)，卯(本气)","0","D","0","D","0","D","0","29.75","29.75","29.75","29.75","29.75","","","","","29.75","29.75","29.75","29.75","极弱","极弱","极弱","极弱","木","木","木","木","木、水","木、水","木、水","木、水","金、火、土","金、火、土","金、火、土","金、火、土","食神生财格·破格","食神生财格·破格","食神生财格·破格","食神生财格·破格","否","false",""
"18专项(观察)","H02","戊辰 甲寅 丁亥 庚子","丁","寅","木","false","false","","","false","","false","false","","","2","","寅(藏丙)","0","D","0","D","0","D","0","62","62","62","62","62","","","","","64","64","64","64","偏强","偏强","偏强","偏强","水","水","水","水","水、土、金","水、土、金","水、土、金","水、土、金","木、火","木、火","木、火","木、火","正印格·破格","正印格·破格","正印格·破格","正印格·破格","否","false",""
"18专项(观察)","H03","甲寅 戊辰 壬子 辛丑","壬","辰","土","true","false","","时干","false","丑(辛)","true","false","","","3","戊(month)","辰(藏癸)，子(本气)，丑(藏癸)","0","D","0","D","0","D","0","31.5","31.5","31.5","31.5","31.5","","","","","31.5","31.5","31.5","31.5","偏弱","偏弱","偏弱","偏弱","金","金","金","金","金、水","金、水","金、水","金、水","木、土、火","木、土、火","木、土、火","木、土、火","七杀格·成格","七杀格·成格","七杀格·成格","七杀格·成格","否","false",""
"18专项(观察)","H04","甲申 庚午 辛卯 戊戌","辛","午","火","true","false","","时干","false","申(戊)，午(己)，戌(戊)","true","false","","","1","","申(本气)，戌(藏辛)","0","D","0","D","0","D","0","23.5","23.5","23.5","23.5","23.5","","","","","26.5","26.5","26.5","26.5","极弱","极弱","极弱","极弱","金","金","金","金","金、土","金、土","金、土","金、土","木、火、水","木、火、水","木、火、水","木、火、水","七杀格·破格","七杀格·破格","七杀格·破格","七杀格·破格","否","false",""
"18专项(观察)","H05","庚子 乙酉 甲辰 甲子","甲","酉","金","true","false","","日支藏","false","子(癸)，辰(癸)，子(癸)","true","false","","","2","庚(year)","辰(藏乙)","0","D","0","D","0","D","0","18.5","18.5","18.5","18.5","18.5","","","","","21.5","21.5","21.5","21.5","极弱","极弱","极弱","极弱","水","水","水","水","水、木","水、木","水、木","水、木","火、土、金","火、土、金","火、土、金","火、土、金","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false",""
"18专项(观察)","H06","乙巳 壬午 丁未 戊申","丁","午","火","false","true","午(禄)","","false","","false","false","","","1","壬(month)","巳(本气)，午(本气)，未(藏丁)","0","D","0","D","0","D","0","78","78","78","78","78","","","","","77","77","77","77","偏强","偏强","偏强","偏强","水","水","水","水","水、土、金","水、土、金","水、土、金","水、土、金","木、火","木、火","木、火","木、火","建禄格·成格","建禄格·成格","建禄格·成格","建禄格·成格","否","false",""
"18专项(观察)","H07","己丑 丙寅 丁亥 甲辰","丁","寅","木","false","false","","","false","","false","false","","","1","","寅(藏丙)","0","D","0","D","0","D","0","77","77","77","77","77","","","","","79","79","79","79","偏强","偏强","偏强","偏强","土","土","土","土","土、金、水","土、金、水","土、金、水","土、金、水","木、火","木、火","木、火","木、火","正印格·成格","正印格·成格","正印格·成格","正印格·成格","否","false",""
"18专项(观察)","H08","丁酉 丙午 丁卯 庚戌","丁","午","火","false","true","酉(长生)，午(禄)","","false","","false","false","","","0","","午(本气)，戌(藏丁)","0","D","0","D","0","D","0","93","93","93","93","93","","","","","94","94","94","94","极强","极强","极强","极强","水","水","水","水","水、土、金","水、土、金","水、土、金","水、土、金","木、火","木、火","木、火","木、火","建禄格·成格","建禄格·成格","建禄格·成格","建禄格·成格","否","false",""
"18专项(观察)","H09","甲寅 壬申 壬辰 己酉","壬","申","金","false","true","申(长生)","","false","","false","false","","","2","己(hour)","申(藏壬)，辰(藏癸)","0","D","0","D","0","D","0","67.5","67.5","67.5","67.5","67.5","","","","","68.5","68.5","68.5","68.5","偏强","偏强","偏强","偏强","木","木","木","木","木、火、土","木、火、土","木、火、土","木、火、土","金、水","金、水","金、水","金、水","偏印格·破格","偏印格·破格","偏印格·破格","偏印格·破格","否","false",""
"18专项(观察)","H10","癸未 丁巳 丙戌 辛卯","丙","巳","火","false","true","巳(禄)","","false","","false","false","","","1","癸(year)","未(藏丁)，巳(本气)，戌(藏丁)","0","D","0","D","0","D","0","93.5","93.5","93.5","93.5","93.5","","","","","95.5","95.5","95.5","95.5","极强","极强","极强","极强","水","水","水","水","水、土、金","水、土、金","水、土、金","水、土、金","木、火","木、火","木、火","木、火","建禄格·成格","建禄格·成格","建禄格·成格","建禄格·成格","否","false",""
"18专项(观察)","H11","壬辰 癸卯 戊戌 丁巳","戊","卯","木","true","true","巳(禄)","时干","false","戌(丁)，巳(丙)","true","false","丁壬合","戌辰冲","1","","辰(本气)，戌(本气)，巳(藏戊)","13","A","13","C","3","C","3","33","46","46","36","36","40","40","","","48","48","38","38","中和","中和","偏弱","偏弱","土","土","土","土","土","土","土、火","土、火","","","木、金、水","木、金、水","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false","M2翻档;M2喜忌翻转;M3翻档;M3喜忌翻转"
"18专项(观察)","H12","甲申 丁丑 壬辰 己酉","壬","丑","土","true","true","申(长生)","","false","申(庚)，丑(辛)，酉(辛)","true","false","","","3","己(hour)","申(藏壬)，丑(藏癸)，辰(藏癸)","0","D","0","D","0","D","0","28.5","28.5","28.5","28.5","28.5","","","","","28.5","28.5","28.5","28.5","极弱","极弱","极弱","极弱","金","金","金","金","金、水","金、水","金、水","金、水","木、火、土","木、火、土","木、火、土","木、火、土","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false",""
"18专项(观察)","H13","壬寅 丙午 丙戌 辛卯","丙","午","火","false","true","寅(长生)","","false","","false","false","","","1","壬(year)","寅(藏丙)，午(本气)，戌(藏丁)","0","D","0","D","0","D","0","100.5","100.5","100.5","100.5","100.5","","","","","100","100","100","100","极强","极强","极强","极强","水","水","水","水","水、土、金","水、土、金","水、土、金","水、土、金","木、火","木、火","木、火","木、火","羊刃格·成格","羊刃格·成格","羊刃格·成格","羊刃格·成格","否","false",""
"18专项(观察)","H14","乙丑 己丑 壬子 辛丑","壬","丑","土","true","false","","时干","false","丑(辛)，丑(辛)，丑(辛)","true","false","","","4","己(month)","丑(藏癸)，丑(藏癸)，子(本气)，丑(藏癸)","0","D","0","D","0","D","0","18.5","18.5","18.5","18.5","18.5","","","","","18.5","18.5","18.5","18.5","极弱","极弱","极弱","极弱","金","金","金","金","金、水","金、水","金、水","金、水","木、土、火","木、土、火","木、土、火","木、土、火","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false",""
"18专项(观察)","H15","甲寅 庚午 庚辰 乙酉","庚","午","火","true","false","","日支藏","false","寅(戊)，午(己)，辰(戊)","true","false","","","1","","酉(本气)","0","D","0","D","0","D","0","34","34","34","34","34","","","","","36","36","36","36","偏弱","偏弱","偏弱","偏弱","金","金","金","金","金、土","金、土","金、土","金、土","木、火、水","木、火、水","木、火、水","木、火、水","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false",""
"18专项(观察)","H16","丙辰 庚子 癸巳 庚申","癸","子","水","false","true","子(禄)","","false","","false","false","","","1","","辰(藏癸)，子(本气)，申(藏壬)","0","D","0","D","0","D","0","94.5","94.5","94.5","94.5","94.5","","","","","98.5","98.5","98.5","98.5","极强","极强","极强","极强","火","火","火","火","火、木、土","火、木、土","火、木、土","火、木、土","金、水","金、水","金、水","金、水","建禄格·成格","建禄格·成格","建禄格·成格","建禄格·成格","否","false",""
"18专项(观察)","H17","甲子 丙子 癸亥 甲寅","癸","子","水","false","true","子(禄)，子(禄)","","false","","false","false","","","0","","子(本气)，子(本气)，亥(本气)","0","D","0","D","0","D","0","90.5","90.5","90.5","90.5","90.5","","","","","90.5","90.5","90.5","90.5","极强","极强","极强","极强","土","土","土","土","土、火、木","土、火、木","土、火、木","土、火、木","金、水","金、水","金、水","金、水","建禄格·成格","建禄格·成格","建禄格·成格","建禄格·成格","否","false",""
"18专项(观察)","H18","癸卯 己未 甲午 壬申","甲","未","土","false","false","","","false","","false","false","","","1","","卯(本气)，未(藏乙)","0","D","0","D","0","D","0","30","30","30","30","30","","","","","31","31","31","31","偏弱","偏弱","偏弱","偏弱","木","木","木","木","木、水","木、水","木、水","木、水","火、土、金","火、土、金","火、土、金","火、土、金","正财格·成格","正财格·成格","正财格·成格","正财格·成格","否","false",""
"附加观察","P15-19","己亥 丙子 辛酉 戊子","辛","子","水","false","true","子(长生)，酉(禄)，子(长生)","","false","","false","false","","","1","丙(month)","酉(本气)","0","D","0","D","0","D","0","49","49","49","49","49","","","","","49","49","49","49","中和","中和","中和","中和","木","木","木","木","木、火","木、火","木、火","木、火","","","","","食神格·破格","食神格·破格","食神格·破格","食神格·破格","否","false",""
"附加观察","P15-20","壬午 癸卯 戊寅 乙卯","戊","卯","木","true","true","寅(长生)","日支藏","false","午(丁)，寅(丙)","true","false","","","4","乙(hour)","午(藏己)，寅(藏戊)","13","A","13","A","13","A","10","-8","5","5","5","2","","","","","6","6","6","3","极弱","极弱","极弱","极弱","火","火","火","火","火、土","火、土","火、土","火、土","木、金、水","木、金、水","木、金、水","木、金、水","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false",""
"合成观察","SY1","壬子 壬子 戊午 戊午","戊","子","水","false","false","","","false","","false","false","","","0","","午(藏己)，午(藏己)","0","D","0","D","0","D","0","28","28","28","28","28","","","","","30","30","30","30","偏弱","偏弱","偏弱","偏弱","土","土","土","土","土、火","土、火","土、火","土、火","金、水、木","金、水、木","金、水、木","金、水、木","正财格·破格","正财格·破格","正财格·破格","正财格·破格","否","false",""
"合成观察","SY2","壬子 壬子 戊戌 丁巳","戊","子","水","false","true","巳(禄)","","false","","false","false","","","0","","戌(本气)，巳(藏戊)","0","D","0","D","0","D","0","40","40","40","40","40","","","","","42","42","42","42","中和","中和","中和","中和","土","土","土","土","土、火","土、火","土、火","土、火","木、金、水","木、金、水","木、金、水","木、金、水","正财格·成格","正财格·成格","正财格·成格","正财格·成格","否","false",""
"合成观察","SY3","甲子 壬申 乙卯 丁亥","乙","申","金","true","true","卯(禄)","月干","false","子(癸)，申(壬)，亥(壬)","true","false","壬丁合","","1","","卯(本气)，亥(藏甲)","13","A","13","C","3","C","3","52","65","65","55","55","60","60","","","67","67","57","57","偏强","偏强","中和","中和","土","土","土","土","土、火、金","土、火、金","土、火、金","土、火、金","木、水","木、水","木、水","木、水","官印相生格·成格","官印相生格·成格","官印相生格·成格","官印相生格·成格","否","false","M2翻档;M3翻档"
"合成观察","SY4","壬寅 戊申 乙卯 壬午","乙","申","金","true","true","卯(禄)，午(长生)","时干","true","申(壬)","true","true","","","1","","寅(本气)，卯(本气)","13","A","13","A","13","A","10","43","56","56","56","53","50","50","50","50","57","57","57","54","中和","中和","中和","中和","土","土","土","土","土、火、金","土、火、金","土、火、金","土、火、金","木","木","木","木","正官格·破格","正官格·破格","正官格·破格","正官格·破格","否","false",""
