编号,四柱,来源,BASE分,BASE旺衰,BASE用神,BASE喜,BASE忌,BASEadj,FORMAL分,FORMAL旺衰,FORMAL用神,FORMAL喜,FORMAL忌,FORMALadj,PREVIEW一致,与已测MA分差,与已测MAadj差,差异来源
"#5","己酉 癸酉 庚申 甲申","基线","100","极强","火","火、水、木","土、金","0","100","极强","火","火、水、木","土、金","0","一致","","",""
"#6","甲辰 丙寅 戊午 丁巳","基线","62","偏强","水","水、金、木","火、土","0","62","偏强","水","水、金、木","火、土","0","一致","","",""
"#7","癸亥 甲寅 乙卯 丙子","基线","100","极强","金","金、火、土","木、水","0","100","极强","金","金、火、土","木、水","0","一致","","",""
"#8,B1","庚申 壬午 甲午 丙寅","基线","24","极弱","水","水、木","火、土、金","0","24","极弱","水","水、木","火、土、金","0","一致","","",""
"#9","甲子 丁卯 己未 庚午","基线","51","中和","木","木","","0","51","中和","木","木","","0","一致","","",""
"#10","辛酉 癸巳 壬子 庚子","基线","75","偏强","火","火、木、土","金、水","0","75","偏强","火","火、木、土","金、水","0","一致","","",""
"A1","甲辰 丙寅 戊午 庚申","基线","45","中和","火","火、土","木、金","0","45","中和","火","火、土","木、金","0","一致","","",""
"A2","甲子 丁卯 己未 癸酉","基线","40","中和","火","火、土","木、金、水","0","40","中和","火","火、土","木、金、水","0","一致","","",""
"A3","丙申 庚寅 戊辰 丁巳","基线","56","中和","水","水、金、木","火、土","0","56","中和","水","水、金、木","火、土","0","一致","","",""
"A4","辛亥 庚寅 己巳 庚午","基线","32","偏弱","火","火、土","木、金、水","0","32","偏弱","火","火、土","木、金、水","0","一致","","",""
"A6","癸酉 乙卯 己丑 己巳","基线","34","偏弱","火","火、土","木、金、水","0","34","偏弱","火","火、土","木、金、水","0","一致","","",""
"B2","壬申 丁未 甲辰 乙丑","基线","19","极弱","木","木、水","火、土、金","0","19","极弱","木","木、水","火、土、金","0","一致","","",""
"B3","辛酉 丁酉 甲寅 乙丑","基线","34","偏弱","水","水、木","火、金、土","0","34","偏弱","水","水、木","火、金、土","0","一致","","",""
"B4","戊辰 戊午 乙亥 戊寅","基线","36","偏弱","木","木、水","金、火、土","0","36","偏弱","木","木、水","金、火、土","0","一致","","",""
"B5","庚子 甲申 乙卯 丙子","基线","42","中和","水","水、木","火、金、土","0","42","中和","水","水、木","火、金、土","0","一致","","",""
"B6","丙申 己亥 丁卯 壬寅","基线","34","偏弱","木","木、火","土、金、水","0","34","偏弱","木","木、火","土、金、水","0","一致","","",""
"P15-03","乙丑 戊寅 己巳 庚午","锚点","51","中和","火","火、水","","0","51","中和","火","火、水","","0","一致","","",""
"P15-09","丁丑 癸卯 庚申 丙戌","锚点","47","中和","土","土","","0","47","中和","土","土","","0","一致","","",""
"P15-12","戊子 甲寅 庚申 丁亥","锚点","27","极弱","土","土、金","木、火、水","0","27","极弱","土","土、金","木、火、水","0","一致","","",""
"P15-14","丙寅 庚寅 戊辰 癸亥","锚点","22","极弱","土","土、火","木、水、金","0","22","极弱","土","土、火","木、水、金","0","一致","","",""
"P15-16","丁卯 壬寅 壬午 庚子","锚点","26","极弱","水","水、金","木、土、火","0","26","极弱","水","水、金","木、土、火","0","一致","","",""
