编号,八字,终分,旺衰,格局,五行,与日主关系,成势,L1,L2,L3,L4,S_need,根气分,根气质量,角色,变化类型,before用神,before喜,before忌,before_method,after用神,after喜,after忌,after_method,tiebreak
"#5","己酉 癸酉 庚申 甲申","100","极强","羊刃格·破格","木","财","否","50","0","0","0","50","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","不变","火","火、水、木","土、金","扶抑为主·调候辅助","火","火、水、木","土、金","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#5","己酉 癸酉 庚申 甲申","100","极强","羊刃格·破格","火","官杀","否","50","10","1.6","6","67.6","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","用神","不变","火","火、水、木","土、金","扶抑为主·调候辅助","火","火、水、木","土、金","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#5","己酉 癸酉 庚申 甲申","100","极强","羊刃格·破格","土","印","否","-50","0","0","0","-50","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","不变","火","火、水、木","土、金","扶抑为主·调候辅助","火","火、水、木","土、金","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#5","己酉 癸酉 庚申 甲申","100","极强","羊刃格·破格","金","比劫","是(4)","-50","0","0","0","-50","8","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","不变","火","火、水、木","土、金","扶抑为主·调候辅助","火","火、水、木","土、金","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#5","己酉 癸酉 庚申 甲申","100","极强","羊刃格·破格","水","食伤","否","50","4","0","0","54","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","不变","火","火、水、木","土、金","扶抑为主·调候辅助","火","火、水、木","土、金","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#6","甲辰 丙寅 戊午 丁巳","62","偏强","杀印相生格·成格","木","官杀","否","12","0","0","0","12","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","喜神","用神翻转","木","木、金、水","火、土","扶抑为主","水","水、金、木","火、土","扶抑为主","无需决胜（唯一最高分）"
"#6","甲辰 丙寅 戊午 丁巳","62","偏强","杀印相生格·成格","火","印","是(4)","-12","0","0","0","-12","7","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","用神翻转","木","木、金、水","火、土","扶抑为主","水","水、金、木","火、土","扶抑为主","无需决胜（唯一最高分）"
"#6","甲辰 丙寅 戊午 丁巳","62","偏强","杀印相生格·成格","土","比劫","否","-12","0","0","0","-12","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","用神翻转","木","木、金、水","火、土","扶抑为主","水","水、金、木","火、土","扶抑为主","无需决胜（唯一最高分）"
"#6","甲辰 丙寅 戊午 丁巳","62","偏强","杀印相生格·成格","金","食伤","否","12","2.88","0","0","14.88","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","用神翻转","木","木、金、水","火、土","扶抑为主","水","水、金、木","火、土","扶抑为主","无需决胜（唯一最高分）"
"#6","甲辰 丙寅 戊午 丁巳","62","偏强","杀印相生格·成格","水","财","否","12","4.8","0","0","16.8","0.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","用神翻转","木","木、金、水","火、土","扶抑为主","水","水、金、木","火、土","扶抑为主","无需决胜（唯一最高分）"
"#7","癸亥 甲寅 乙卯 丙子","100","极强","建禄格·破格","木","比劫","是(3)","-50","0","0","0","-50","6","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#7","癸亥 甲寅 乙卯 丙子","100","极强","建禄格·破格","火","食伤","否","50","10","0","0","60","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#7","癸亥 甲寅 乙卯 丙子","100","极强","建禄格·破格","土","财","否","50","10","0","0","60","-0.5","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#7","癸亥 甲寅 乙卯 丙子","100","极强","建禄格·破格","金","官杀","否","50","10","1.6","0","61.6","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","用神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#7","癸亥 甲寅 乙卯 丙子","100","极强","建禄格·破格","水","印","是(3)","-50","0","0","0","-50","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#8","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","木","比劫","否","26","0","0","0","26","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"#8","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","火","食伤","是(3)","-26","0","0","0","-26","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"#8","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","土","财","否","-26","0","0","0","-26","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"#8","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","金","官杀","否","-26","0","0","0","-26","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"#8","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","水","印","否","26","12","4","0","42","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"#9","甲子 丁卯 己未 庚午","51","中和","杀印相生格·成格","木","官杀","否","1","0","0","0","1","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","喜忌成员","木","木、金、水","火、土","扶抑为主","木","木","","扶抑为主","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=2.5，金=0，水=1→木)"
"#9","甲子 丁卯 己未 庚午","51","中和","杀印相生格·成格","火","印","否","-1","0","0","0","-1","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","喜忌成员","木","木、金、水","火、土","扶抑为主","木","木","","扶抑为主","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=2.5，金=0，水=1→木)"
"#9","甲子 丁卯 己未 庚午","51","中和","杀印相生格·成格","土","比劫","否","-1","0","0","0","-1","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","喜忌成员","木","木、金、水","火、土","扶抑为主","木","木","","扶抑为主","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=2.5，金=0，水=1→木)"
"#9","甲子 丁卯 己未 庚午","51","中和","杀印相生格·成格","金","食伤","否","1","0","0","0","1","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","中性","喜忌成员","木","木、金、水","火、土","扶抑为主","木","木","","扶抑为主","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=2.5，金=0，水=1→木)"
"#9","甲子 丁卯 己未 庚午","51","中和","杀印相生格·成格","水","财","否","1","0","0","0","1","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","中性","喜忌成员","木","木、金、水","火、土","扶抑为主","木","木","","扶抑为主","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=2.5，金=0，水=1→木)"
"#10","辛酉 癸巳 壬子 庚子","75","偏强","偏财格·破格","木","食伤","否","25","10","0","0","35","-2","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","用神翻转","土","土、木、火","金、水","格局救应","火","火、木、土","金、水","格局救应","结构需求分(木=10，火=10，土=10→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=-2，火=1，土=0.5→火)"
"#10","辛酉 癸巳 壬子 庚子","75","偏强","偏财格·破格","火","财","否","25","10","0","0","35","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","用神翻转","土","土、木、火","金、水","格局救应","火","火、木、土","金、水","格局救应","结构需求分(木=10，火=10，土=10→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=-2，火=1，土=0.5→火)"
"#10","辛酉 癸巳 壬子 庚子","75","偏强","偏财格·破格","土","官杀","否","25","10","0","0","35","0.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","用神翻转","土","土、木、火","金、水","格局救应","火","火、木、土","金、水","格局救应","结构需求分(木=10，火=10，土=10→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=-2，火=1，土=0.5→火)"
"#10","辛酉 癸巳 壬子 庚子","75","偏强","偏财格·破格","金","印","是(3)","-25","0","0","0","-25","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","用神翻转","土","土、木、火","金、水","格局救应","火","火、木、土","金、水","格局救应","结构需求分(木=10，火=10，土=10→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=-2，火=1，土=0.5→火)"
"#10","辛酉 癸巳 壬子 庚子","75","偏强","偏财格·破格","水","比劫","是(3)","-25","0","0","0","-25","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","用神翻转","土","土、木、火","金、水","格局救应","火","火、木、土","金、水","格局救应","结构需求分(木=10，火=10，土=10→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=-2，火=1，土=0.5→火)"
"A1","甲辰 丙寅 戊午 庚申","45","中和","杀印相生格·破格","木","官杀","否","-5","0","0","0","-5","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","喜忌成员","火","火、土","木、金、水","格局救应","火","火、土","木、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=4，土=3→火)"
"A1","甲辰 丙寅 戊午 庚申","45","中和","杀印相生格·破格","火","印","否","5","0","0","0","5","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","用神","喜忌成员","火","火、土","木、金、水","格局救应","火","火、土","木、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=4，土=3→火)"
"A1","甲辰 丙寅 戊午 庚申","45","中和","杀印相生格·破格","土","比劫","否","5","0","0","0","5","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","喜忌成员","火","火、土","木、金、水","格局救应","火","火、土","木、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=4，土=3→火)"
"A1","甲辰 丙寅 戊午 庚申","45","中和","杀印相生格·破格","金","食伤","否","-5","0","0","0","-5","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","喜忌成员","火","火、土","木、金、水","格局救应","火","火、土","木、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=4，土=3→火)"
"A1","甲辰 丙寅 戊午 庚申","45","中和","杀印相生格·破格","水","财","否","-5","0","6","0","1","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","中性","喜忌成员","火","火、土","木、金、水","格局救应","火","火、土","木、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=4，土=3→火)"
"A2","甲子 丁卯 己未 癸酉","40","中和","杀印相生格·破格","木","官杀","否","-10","0","0","0","-10","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1，土=1→火土) → 固定序(火=-1，土=-2→火)"
"A2","甲子 丁卯 己未 癸酉","40","中和","杀印相生格·破格","火","印","否","10","0","0","0","10","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1，土=1→火土) → 固定序(火=-1，土=-2→火)"
"A2","甲子 丁卯 己未 癸酉","40","中和","杀印相生格·破格","土","比劫","否","10","0","0","0","10","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1，土=1→火土) → 固定序(火=-1，土=-2→火)"
"A2","甲子 丁卯 己未 癸酉","40","中和","杀印相生格·破格","金","食伤","否","-10","0","0","0","-10","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","忌神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1，土=1→火土) → 固定序(火=-1，土=-2→火)"
"A2","甲子 丁卯 己未 癸酉","40","中和","杀印相生格·破格","水","财","否","-10","0","6","0","-4","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1，土=1→火土) → 固定序(火=-1，土=-2→火)"
"A3","丙申 庚寅 戊辰 丁巳","56","中和","食神制杀格·破格","木","官杀","否","6","0","0","0","6","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","用神翻转","木","木、金、水","火、土","格局救应","水","水、金、木","火、土","格局救应","无需决胜（唯一最高分）"
"A3","丙申 庚寅 戊辰 丁巳","56","中和","食神制杀格·破格","火","印","是(3)","-6","0","0","0","-6","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","用神翻转","木","木、金、水","火、土","格局救应","水","水、金、木","火、土","格局救应","无需决胜（唯一最高分）"
"A3","丙申 庚寅 戊辰 丁巳","56","中和","食神制杀格·破格","土","比劫","否","-6","0","0","0","-6","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","用神翻转","木","木、金、水","火、土","格局救应","水","水、金、木","火、土","格局救应","无需决胜（唯一最高分）"
"A3","丙申 庚寅 戊辰 丁巳","56","中和","食神制杀格·破格","金","食伤","否","6","1.44","4","0","11.44","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","用神翻转","木","木、金、水","火、土","格局救应","水","水、金、木","火、土","格局救应","无需决胜（唯一最高分）"
"A3","丙申 庚寅 戊辰 丁巳","56","中和","食神制杀格·破格","水","财","否","6","2.4","6","0","14.4","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","用神翻转","木","木、金、水","火、土","格局救应","水","水、金、木","火、土","格局救应","无需决胜（唯一最高分）"
"A4","辛亥 庚寅 己巳 庚午","32","偏弱","正官格·破格","木","官杀","否","-18","0","0","0","-18","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","忌神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"A4","辛亥 庚寅 己巳 庚午","32","偏弱","正官格·破格","火","印","否","18","8.64","6","0","32.64","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","用神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"A4","辛亥 庚寅 己巳 庚午","32","偏弱","正官格·破格","土","比劫","否","18","0","0","0","18","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"A4","辛亥 庚寅 己巳 庚午","32","偏弱","正官格·破格","金","食伤","是(3)","-18","0","0","0","-18","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"A4","辛亥 庚寅 己巳 庚午","32","偏弱","正官格·破格","水","财","否","-18","0","3","0","-15","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"A5","壬辰 癸卯 戊戌 丁巳","47","中和","正官格·破格","木","官杀","否","-3","0","0","0","-3","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","用神翻转","火","火、土","木、金、水","格局救应","土","土","","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1.5，土=2.5→土)"
"A5","壬辰 癸卯 戊戌 丁巳","47","中和","正官格·破格","火","印","否","3","0","0","0","3","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","中性","用神翻转","火","火、土","木、金、水","格局救应","土","土","","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1.5，土=2.5→土)"
"A5","壬辰 癸卯 戊戌 丁巳","47","中和","正官格·破格","土","比劫","否","3","0","0","0","3","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","用神翻转","火","火、土","木、金、水","格局救应","土","土","","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1.5，土=2.5→土)"
"A5","壬辰 癸卯 戊戌 丁巳","47","中和","正官格·破格","金","食伤","否","-3","0","0","0","-3","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","中性","用神翻转","火","火、土","木、金、水","格局救应","土","土","","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1.5，土=2.5→土)"
"A5","壬辰 癸卯 戊戌 丁巳","47","中和","正官格·破格","水","财","否","-3","0","0","0","-3","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","用神翻转","火","火、土","木、金、水","格局救应","土","土","","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1.5，土=2.5→土)"
"A6","癸酉 乙卯 己丑 己巳","34","偏弱","七杀格·破格","木","官杀","否","-16","0","0","0","-16","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"A6","癸酉 乙卯 己丑 己巳","34","偏弱","七杀格·破格","火","印","否","16","0","3","0","19","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"A6","癸酉 乙卯 己丑 己巳","34","偏弱","七杀格·破格","土","比劫","否","16","0","0","0","16","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"A6","癸酉 乙卯 己丑 己巳","34","偏弱","七杀格·破格","金","食伤","否","-16","0","3","0","-13","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"A6","癸酉 乙卯 己丑 己巳","34","偏弱","七杀格·破格","水","财","否","-16","0","6","0","-10","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","不变","火","火、土","木、金、水","格局救应","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）"
"B1","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","木","比劫","否","26","0","0","0","26","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"B1","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","火","食伤","是(3)","-26","0","0","0","-26","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"B1","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","土","财","否","-26","0","0","0","-26","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"B1","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","金","官杀","否","-26","0","0","0","-26","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"B1","庚申 壬午 甲午 丙寅","24","极弱","伤官配印格·破格","水","印","否","26","12","4","0","42","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、土、金","格局救应","无需决胜（唯一最高分）"
"B2","壬申 丁未 甲辰 乙丑","19","极弱","伤官格·破格","木","比劫","否","31","10","0","0","41","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","用神翻转","水","水、木","金、火、土","格局救应","木","木、水","火、土、金","格局救应","无需决胜（唯一最高分）"
"B2","壬申 丁未 甲辰 乙丑","19","极弱","伤官格·破格","火","食伤","否","-31","0","0","0","-31","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","用神翻转","水","水、木","金、火、土","格局救应","木","木、水","火、土、金","格局救应","无需决胜（唯一最高分）"
"B2","壬申 丁未 甲辰 乙丑","19","极弱","伤官格·破格","土","财","是(3)","-31","0","0","0","-31","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","用神翻转","水","水、木","金、火、土","格局救应","木","木、水","火、土、金","格局救应","无需决胜（唯一最高分）"
"B2","壬申 丁未 甲辰 乙丑","19","极弱","伤官格·破格","金","官杀","否","-31","0","0","0","-31","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","用神翻转","水","水、木","金、火、土","格局救应","木","木、水","火、土、金","格局救应","无需决胜（唯一最高分）"
"B2","壬申 丁未 甲辰 乙丑","19","极弱","伤官格·破格","水","印","否","31","6","0","0","37","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","用神翻转","水","水、木","金、火、土","格局救应","木","木、水","火、土、金","格局救应","无需决胜（唯一最高分）"
"B3","辛酉 丁酉 甲寅 乙丑","34","偏弱","正官格·破格","木","比劫","否","16","2.56","0","0","18.56","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
"B3","辛酉 丁酉 甲寅 乙丑","34","偏弱","正官格·破格","火","食伤","否","-16","0","0","0","-16","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
"B3","辛酉 丁酉 甲寅 乙丑","34","偏弱","正官格·破格","土","财","否","-16","0","3","0","-13","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
