标签,八字,排盘校验,终分,旺衰,格局,从格,五行,与日主关系,成势,L1,L2,L3,L4,S_need,根气分,根气质量,角色,用神,喜神,忌神,method,tiebreak,破格原因,成格条件清单
"P15-03","乙丑 戊寅 己巳 庚午","合格","51","中和","正官格·破格","否","木","官杀","否","1","0","0","0","1","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","火","火、水","","格局救应","无需决胜（唯一最高分）","伤官克官；官杀混杂","✅日主有承载格局之力（日主中和（51分），可承载格局）；✅正官透干有根（月令正官透出天干）；❌无伤官克官（天干透伤官，克损正官）；❌无官杀混杂（天干透七杀，官杀混杂）"
"P15-03","乙丑 戊寅 己巳 庚午","合格","51","中和","正官格·破格","否","火","印","否","-1","0","6","0","5","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","用神","火","火、水","","格局救应","无需决胜（唯一最高分）","伤官克官；官杀混杂","✅日主有承载格局之力（日主中和（51分），可承载格局）；✅正官透干有根（月令正官透出天干）；❌无伤官克官（天干透伤官，克损正官）；❌无官杀混杂（天干透七杀，官杀混杂）"
"P15-03","乙丑 戊寅 己巳 庚午","合格","51","中和","正官格·破格","否","土","比劫","否","-1","0","0","0","-1","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","中性","火","火、水","","格局救应","无需决胜（唯一最高分）","伤官克官；官杀混杂","✅日主有承载格局之力（日主中和（51分），可承载格局）；✅正官透干有根（月令正官透出天干）；❌无伤官克官（天干透伤官，克损正官）；❌无官杀混杂（天干透七杀，官杀混杂）"
"P15-03","乙丑 戊寅 己巳 庚午","合格","51","中和","正官格·破格","否","金","食伤","否","1","0","0","0","1","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","火","火、水","","格局救应","无需决胜（唯一最高分）","伤官克官；官杀混杂","✅日主有承载格局之力（日主中和（51分），可承载格局）；✅正官透干有根（月令正官透出天干）；❌无伤官克官（天干透伤官，克损正官）；❌无官杀混杂（天干透七杀，官杀混杂）"
"P15-03","乙丑 戊寅 己巳 庚午","合格","51","中和","正官格·破格","否","水","财","否","1","0","3","0","4","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","火","火、水","","格局救应","无需决胜（唯一最高分）","伤官克官；官杀混杂","✅日主有承载格局之力（日主中和（51分），可承载格局）；✅正官透干有根（月令正官透出天干）；❌无伤官克官（天干透伤官，克损正官）；❌无官杀混杂（天干透七杀，官杀混杂）"
"P15-04","庚午 壬午 丙寅 戊子","合格","84","极强","羊刃格·破格","否","木","印","否","-34","0","6","0","-28","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","水","水、土、金","火、木","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令受时柱冲","✅日主有承载格局之力（日主极强（84分），可承载格局）；✅官杀制刃（✓）"
"P15-04","庚午 壬午 丙寅 戊子","合格","84","极强","羊刃格·破格","否","火","比劫","否","-34","0","0","0","-34","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","水","水、土、金","火、木","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令受时柱冲","✅日主有承载格局之力（日主极强（84分），可承载格局）；✅官杀制刃（✓）"
"P15-04","庚午 壬午 丙寅 戊子","合格","84","极强","羊刃格·破格","否","土","食伤","否","34","0","0","0","34","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","水","水、土、金","火、木","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令受时柱冲","✅日主有承载格局之力（日主极强（84分），可承载格局）；✅官杀制刃（✓）"
"P15-04","庚午 壬午 丙寅 戊子","合格","84","极强","羊刃格·破格","否","金","财","否","34","0","0","0","34","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","水","水、土、金","火、木","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令受时柱冲","✅日主有承载格局之力（日主极强（84分），可承载格局）；✅官杀制刃（✓）"
"P15-04","庚午 壬午 丙寅 戊子","合格","84","极强","羊刃格·破格","否","水","官杀","否","34","0","1.6","8","43.6","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","用神","水","水、土、金","火、木","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令受时柱冲","✅日主有承载格局之力（日主极强（84分），可承载格局）；✅官杀制刃（✓）"
"P15-05","癸卯 乙卯 乙亥 丁丑","合格","100","极强","建禄格·破格","否","木","比劫","是(3)","-50","0","0","0","-50","6","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","禄旺而财官不显","✅日主有承载格局之力（日主极强（100分），可承载格局）；❌财官透出为用（禄旺无财官，英雄无用武之地）"
"P15-05","癸卯 乙卯 乙亥 丁丑","合格","100","极强","建禄格·破格","否","火","食伤","否","50","4","0","0","54","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","禄旺而财官不显","✅日主有承载格局之力（日主极强（100分），可承载格局）；❌财官透出为用（禄旺无财官，英雄无用武之地）"
"P15-05","癸卯 乙卯 乙亥 丁丑","合格","100","极强","建禄格·破格","否","土","财","否","50","0","0","0","50","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","禄旺而财官不显","✅日主有承载格局之力（日主极强（100分），可承载格局）；❌财官透出为用（禄旺无财官，英雄无用武之地）"
"P15-05","癸卯 乙卯 乙亥 丁丑","合格","100","极强","建禄格·破格","否","金","官杀","否","50","10","1.6","0","61.6","-0.5","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","用神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","禄旺而财官不显","✅日主有承载格局之力（日主极强（100分），可承载格局）；❌财官透出为用（禄旺无财官，英雄无用武之地）"
"P15-05","癸卯 乙卯 乙亥 丁丑","合格","100","极强","建禄格·破格","否","水","印","否","-50","0","0","0","-50","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","禄旺而财官不显","✅日主有承载格局之力（日主极强（100分），可承载格局）；❌财官透出为用（禄旺无财官，英雄无用武之地）"
"P15-06","丙辰 癸巳 戊戌 庚申","合格","89","极强","偏印格·破格","否","木","官杀","否","39","0","0","0","39","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","金","金、水、木","火、土","扶抑为主·调候辅助","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=0，金=4，水=2.5→金)","财星破印","✅日主有承载格局之力（日主极强（89分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-06","丙辰 癸巳 戊戌 庚申","合格","89","极强","偏印格·破格","否","火","印","否","-39","0","0","0","-39","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","金","金、水、木","火、土","扶抑为主·调候辅助","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=0，金=4，水=2.5→金)","财星破印","✅日主有承载格局之力（日主极强（89分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-06","丙辰 癸巳 戊戌 庚申","合格","89","极强","偏印格·破格","否","土","比劫","否","-39","0","6","0","-33","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","金","金、水、木","火、土","扶抑为主·调候辅助","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=0，金=4，水=2.5→金)","财星破印","✅日主有承载格局之力（日主极强（89分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-06","丙辰 癸巳 戊戌 庚申","合格","89","极强","偏印格·破格","否","金","食伤","否","39","0","0","0","39","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","用神","金","金、水、木","火、土","扶抑为主·调候辅助","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=0，金=4，水=2.5→金)","财星破印","✅日主有承载格局之力（日主极强（89分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-06","丙辰 癸巳 戊戌 庚申","合格","89","极强","偏印格·破格","否","水","财","否","39","0","0","6","45","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","金","金、水、木","火、土","扶抑为主·调候辅助","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=0，金=4，水=2.5→金)","财星破印","✅日主有承载格局之力（日主极强（89分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-07","己未 壬申 甲子 乙亥","合格","58","中和","杀印相生格·成格","否","木","比劫","否","-8","0","0","0","-8","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","土","土、火、金","木、水","扶抑为主","无需决胜（唯一最高分）","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-07","己未 壬申 甲子 乙亥","合格","58","中和","杀印相生格·成格","否","火","食伤","否","8","1.92","0","0","9.92","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","土","土、火、金","木、水","扶抑为主","无需决胜（唯一最高分）","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-07","己未 壬申 甲子 乙亥","合格","58","中和","杀印相生格·成格","否","土","财","否","8","3.2","0","0","11.2","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","土","土、火、金","木、水","扶抑为主","无需决胜（唯一最高分）","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-07","己未 壬申 甲子 乙亥","合格","58","中和","杀印相生格·成格","否","金","官杀","否","8","0","0","0","8","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","土","土、火、金","木、水","扶抑为主","无需决胜（唯一最高分）","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-07","己未 壬申 甲子 乙亥","合格","58","中和","杀印相生格·成格","否","水","印","是(3)","-8","0","0","0","-8","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","土","土、火、金","木、水","扶抑为主","无需决胜（唯一最高分）","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-08","甲戌 乙亥 丁卯 辛亥","合格","36","偏弱","官印相生格·成格","否","木","印","是(3)","14","0","0","6","20","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","用神","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=5，火=0.5→木)","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-08","甲戌 乙亥 丁卯 辛亥","合格","36","偏弱","官印相生格·成格","否","火","比劫","否","14","0","0","8","22","0.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=5，火=0.5→木)","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-08","甲戌 乙亥 丁卯 辛亥","合格","36","偏弱","官印相生格·成格","否","土","食伤","否","-14","0","0","0","-14","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","忌神","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=5，火=0.5→木)","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-08","甲戌 乙亥 丁卯 辛亥","合格","36","偏弱","官印相生格·成格","否","金","财","否","-14","0","0","0","-14","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=5，火=0.5→木)","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-08","甲戌 乙亥 丁卯 辛亥","合格","36","偏弱","官印相生格·成格","否","水","官杀","否","-14","0","0","0","-14","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=5，火=0.5→木)","","❌印星不被财破（财星破印，官杀印通路中断）；✅官/杀不被食伤制死（✓）；✅印星有力（非燥土虚浮）（✓）"
"P15-09","丁丑 癸卯 庚申 丙戌","合格","47","中和","正财格·破格","否","木","财","否","-3","0","0","0","-3","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","土","土","","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=4.5，金=1.5→土)","月令用神未透干","✅日主有承载格局之力（日主中和（47分），可承载格局）；✅比劫不过重（✓）；✅日主能担财（✓）"
"P15-09","丁丑 癸卯 庚申 丙戌","合格","47","中和","正财格·破格","否","火","官杀","否","-3","0","0","0","-3","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","中性","土","土","","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=4.5，金=1.5→土)","月令用神未透干","✅日主有承载格局之力（日主中和（47分），可承载格局）；✅比劫不过重（✓）；✅日主能担财（✓）"
"P15-09","丁丑 癸卯 庚申 丙戌","合格","47","中和","正财格·破格","否","土","印","否","3","0","0","0","3","4.5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","用神","土","土","","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=4.5，金=1.5→土)","月令用神未透干","✅日主有承载格局之力（日主中和（47分），可承载格局）；✅比劫不过重（✓）；✅日主能担财（✓）"
"P15-09","丁丑 癸卯 庚申 丙戌","合格","47","中和","正财格·破格","否","金","比劫","否","3","0","0","0","3","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","中性","土","土","","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=4.5，金=1.5→土)","月令用神未透干","✅日主有承载格局之力（日主中和（47分），可承载格局）；✅比劫不过重（✓）；✅日主能担财（✓）"
"P15-09","丁丑 癸卯 庚申 丙戌","合格","47","中和","正财格·破格","否","水","食伤","否","-3","0","0","0","-3","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","土","土","","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=4.5，金=1.5→土)","月令用神未透干","✅日主有承载格局之力（日主中和（47分），可承载格局）；✅比劫不过重（✓）；✅日主能担财（✓）"
"P15-10","壬辰 丙午 己亥 乙丑","合格","73","偏强","建禄格·成格","否","木","官杀","否","23","0","4","0","27","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","木","木、水、金","火、土","扶抑为主·调候辅助","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主偏强（73分），可承载格局）；✅财官透出为用（✓）"
"P15-10","壬辰 丙午 己亥 乙丑","合格","73","偏强","建禄格·成格","否","火","印","否","-23","0","0","0","-23","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","木","木、水、金","火、土","扶抑为主·调候辅助","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主偏强（73分），可承载格局）；✅财官透出为用（✓）"
"P15-10","壬辰 丙午 己亥 乙丑","合格","73","偏强","建禄格·成格","否","土","比劫","否","-23","0","0","0","-23","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","木","木、水、金","火、土","扶抑为主·调候辅助","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主偏强（73分），可承载格局）；✅财官透出为用（✓）"
"P15-10","壬辰 丙午 己亥 乙丑","合格","73","偏强","建禄格·成格","否","金","食伤","否","23","0","0","0","23","-0.5","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","木","木、水、金","火、土","扶抑为主·调候辅助","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主偏强（73分），可承载格局）；✅财官透出为用（✓）"
"P15-10","壬辰 丙午 己亥 乙丑","合格","73","偏强","建禄格·成格","否","水","财","否","23","0","0","6","29","4.5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","喜神","木","木、水、金","火、土","扶抑为主·调候辅助","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主偏强（73分），可承载格局）；✅财官透出为用（✓）"
"P15-11","乙亥 己卯 丁巳 庚戌","合格","79","偏强","偏印格·破格","否","木","印","否","-29","0","0","0","-29","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","金","金、土、水","木、火","格局救应","结构需求分(土=0，金=0，水=0→土金水) → 通关/救应价值(土=0，金=0，水=0→土金水) → 根气质量(土=2.5，金=3，水=0→金)","财星破印","✅日主有承载格局之力（日主偏强（79分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-11","乙亥 己卯 丁巳 庚戌","合格","79","偏强","偏印格·破格","否","火","比劫","否","-29","0","6","0","-23","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","金","金、土、水","木、火","格局救应","结构需求分(土=0，金=0，水=0→土金水) → 通关/救应价值(土=0，金=0，水=0→土金水) → 根气质量(土=2.5，金=3，水=0→金)","财星破印","✅日主有承载格局之力（日主偏强（79分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-11","乙亥 己卯 丁巳 庚戌","合格","79","偏强","偏印格·破格","否","土","食伤","否","29","0","0","0","29","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","金","金、土、水","木、火","格局救应","结构需求分(土=0，金=0，水=0→土金水) → 通关/救应价值(土=0，金=0，水=0→土金水) → 根气质量(土=2.5，金=3，水=0→金)","财星破印","✅日主有承载格局之力（日主偏强（79分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-11","乙亥 己卯 丁巳 庚戌","合格","79","偏强","偏印格·破格","否","金","财","否","29","0","0","0","29","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","金","金、土、水","木、火","格局救应","结构需求分(土=0，金=0，水=0→土金水) → 通关/救应价值(土=0，金=0，水=0→土金水) → 根气质量(土=2.5，金=3，水=0→金)","财星破印","✅日主有承载格局之力（日主偏强（79分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-11","乙亥 己卯 丁巳 庚戌","合格","79","偏强","偏印格·破格","否","水","官杀","否","29","0","0","0","29","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","金","金、土、水","木、火","格局救应","结构需求分(土=0，金=0，水=0→土金水) → 通关/救应价值(土=0，金=0，水=0→土金水) → 根气质量(土=2.5，金=3，水=0→金)","财星破印","✅日主有承载格局之力（日主偏强（79分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-12","戊子 甲寅 庚申 丁亥","合格","27","极弱","偏财格·破格","否","木","财","否","-23","0","0","0","-23","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","土","土、金","木、火、水","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=1，金=0→土)","月令受日柱冲；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（27分），身太弱难担格局）；✅比劫不过重（✓）；❌日主能担财（身弱不担财，富屋贫人）"
"P15-12","戊子 甲寅 庚申 丁亥","合格","27","极弱","偏财格·破格","否","火","官杀","否","-23","0","0","0","-23","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","土","土、金","木、火、水","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=1，金=0→土)","月令受日柱冲；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（27分），身太弱难担格局）；✅比劫不过重（✓）；❌日主能担财（身弱不担财，富屋贫人）"
"P15-12","戊子 甲寅 庚申 丁亥","合格","27","极弱","偏财格·破格","否","土","印","否","23","0","0","0","23","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","土","土、金","木、火、水","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=1，金=0→土)","月令受日柱冲；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（27分），身太弱难担格局）；✅比劫不过重（✓）；❌日主能担财（身弱不担财，富屋贫人）"
"P15-12","戊子 甲寅 庚申 丁亥","合格","27","极弱","偏财格·破格","否","金","比劫","否","23","0","0","0","23","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","土","土、金","木、火、水","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=1，金=0→土)","月令受日柱冲；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（27分），身太弱难担格局）；✅比劫不过重（✓）；❌日主能担财（身弱不担财，富屋贫人）"
"P15-12","戊子 甲寅 庚申 丁亥","合格","27","极弱","偏财格·破格","否","水","食伤","否","-23","0","6","0","-17","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","土","土、金","木、火、水","格局救应","结构需求分(土=0，金=0→土金) → 通关/救应价值(土=0，金=0→土金) → 根气质量(土=1，金=0→土)","月令受日柱冲；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（27分），身太弱难担格局）；✅比劫不过重（✓）；❌日主能担财（身弱不担财，富屋贫人）"
"P15-13","辛巳 丁酉 癸亥 壬子","合格","95","极强","偏印格·破格","否","木","食伤","否","45","4","0","0","49","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","土","土、木、火","金、水","格局救应","无需决胜（唯一最高分）","财星破印","✅日主有承载格局之力（日主极强（95分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
