set,id,gz,score,level,yong,xi,ji,pattern,riskType,severity,parties,why,mitigations,triggerHint,evidence,partyEvidence
22基线,A2,甲子 丁卯 己未 癸酉,40,中和,火,火、土,木、金、水,杀印相生格·破格,关键用神/格局节点受冲,存在,月柱卯（格局核心杀之根） ↔ 时柱酉,六冲卯酉命中月柱卯（格局核心杀之根），位距2、涉月令,无,若时柱酉（辛金·食神）得运助增，对月柱卯（格局核心杀之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,月柱month（乙木·七杀）:hiddenMainRoot；时柱hour（辛金·食神）:hiddenMainRoot
22基线,A3,丙申 庚寅 戊辰 丁巳,56,中和,金,金、水、木,火、土,食神制杀格·破格,枭夺食,存在,年柱丙（枭）克 月柱庚（食）,偏印元素克食神元素（全 pair 枚举 1 对）,无,若偏印丙进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,v2：全 pair 枚举；severity=任一 pair 贴身→存在，否则潜在（不查合绊，沿用 A1）,年柱丙枭:exposedRooted；月柱庚食:exposedRooted
22基线,A3,丙申 庚寅 戊辰 丁巳,56,中和,金,金、水、木,火、土,食神制杀格·破格,关键用神/格局节点受冲,存在,年柱申（用神同五行；用神干庚之禄；格局核心食伤之根） ↔ 月柱寅（格局核心杀之根）,六冲申寅命中年柱申（用神同五行；用神干庚之禄；格局核心食伤之根）；月柱寅（格局核心杀之根），位距1、涉月令,无,若月柱寅（甲木·七杀）得运助增，对年柱申（用神同五行；用神干庚之禄；格局核心食伤之根）的冲击可能加重；若年柱申（庚金·食神）得运助增，对月柱寅（格局核心杀之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（庚金·食神）:exposedRooted；月柱month（甲木·七杀）:hiddenMainRoot
22基线,A4,辛亥 庚寅 己巳 庚午,23,极弱,火,火,木、金、水、土,正官格·破格,关键用神/格局节点受冲,存在,年柱亥 ↔ 日柱巳（印星之根；用神同五行）,六冲亥巳命中；日柱巳（印星之根；用神同五行），位距2、涉日支,无,若年柱亥（壬水·正财）得运助增，对日柱巳（印星之根；用神同五行）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（壬水·正财）:hiddenMainRoot；日柱day（丙火·正印）:hiddenMainRoot
22基线,A4,辛亥 庚寅 己巳 庚午,23,极弱,火,火,木、金、水、土,正官格·破格,财印冲,存在,年柱亥（壬水） ↔ 日柱巳（丙火）,冲对主气一财一印，位距2、涉日支,无,若财方年柱亥（壬水·正财）进一步增强，财印相冲可能加重，印星根基可能进一步受扰。,v2：主气口径不变（中余气不独立触发）；补 partyEvidence,年柱亥（壬水·正财）:hiddenMainRoot；日柱巳（丙火·正印）:hiddenMainRoot
22基线,A5,壬辰 癸卯 戊戌 丁巳,41,中和,土,土、火,木、金、水,正官格·破格,财破印,潜在,年柱壬（财）克 时柱丁（印）；月柱癸（财）克 时柱丁（印）,财干元素克印干（全 pair 枚举 2 对）,财星壬被丁合绊(d3，弱)；财星癸被戊合绊(d1，强),若财星壬进一步增强而印星丁根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,年柱壬财:exposedUnrooted；时柱丁印:exposedRooted；月柱癸财:exposedUnrooted
22基线,A5,壬辰 癸卯 戊戌 丁巳,41,中和,土,土、火,木、金、水,正官格·破格,关键用神/格局节点受冲,存在,年柱辰（用神同五行） ↔ 日柱戌（用神同五行）,六冲辰戌命中年柱辰（用神同五行）；日柱戌（用神同五行），位距2、涉日支,无,若日柱戌（戊土·比肩）得运助增，对年柱辰（用神同五行）的冲击可能加重；若年柱辰（戊土·比肩）得运助增，对日柱戌（用神同五行）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（戊土·比肩）:exposedRooted；日柱day（戊土·比肩）:exposedRooted
22基线,A6,癸酉 乙卯 己丑 己巳,34,偏弱,火,火、土,木、金、水,七杀格·破格,杀重无制,存在,月柱乙,七杀透干1处；证据 3 项（e1当令、e2本气强根、e3多现）,无,若七杀乙再得根增强而制化不足，杀重无制之势可能加重；出现印化杀或食伤制杀则风险可能解除。,K2-final（GPT 最终裁决第 5/6/7 条）：证据≥2∧无制化∧无强合绊=存在；强合绊(d1)→潜在；证据=1→潜在；制化含中气根；K1 对照见 _p3_a2_sha_ab.csv,月柱乙七杀:exposedRooted
22基线,A6,癸酉 乙卯 己丑 己巳,34,偏弱,火,火、土,木、金、水,七杀格·破格,关键用神/格局节点受冲,存在,年柱酉 ↔ 月柱卯（透干七杀坐支之根；格局核心杀之根）,六冲酉卯命中；月柱卯（透干七杀坐支之根；格局核心杀之根），位距1、涉月令,无,若年柱酉（辛金·食神）得运助增，对月柱卯（透干七杀坐支之根；格局核心杀之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（辛金·食神）:hiddenMainRoot；月柱month（乙木·七杀）:exposedRooted
22基线,B1,庚申 壬午 甲午 丙寅,28,极弱,水,水,火、土、金、木,伤官配印格·破格,枭夺食,潜在,月柱壬（枭）克 时柱丙（食）,偏印元素克食神元素（全 pair 枚举 1 对）,无,若偏印壬进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,v2：全 pair 枚举；severity=任一 pair 贴身→存在，否则潜在（不查合绊，沿用 A1）,月柱壬枭:exposedUnrooted；时柱丙食:exposedRooted
22基线,B1,庚申 壬午 甲午 丙寅,28,极弱,水,水,火、土、金、木,伤官配印格·破格,关键用神/格局节点受冲,潜在,年柱申（透干七杀坐支之根） ↔ 时柱寅,六冲申寅命中年柱申（透干七杀坐支之根），位距3,无,若时柱寅（甲木·比肩）得运助增，对年柱申（透干七杀坐支之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（庚金·七杀）:exposedRooted；时柱hour（甲木·比肩）:exposedRooted
22基线,B3,辛酉 丁酉 甲寅 乙丑,36,偏弱,水,水、木,火、土、金,正官格·破格,伤官见官,存在,月柱丁伤官 ↔ 年柱辛正官,天干同透伤官与正官，全 pair 枚举 1 对（贴身 1 对）,无,若伤官丁（火）得根行旺或正官辛失其制化，伤官见官之势可能显化；当前官星无合绊、存在贴身对贴。,v2：全 pair 枚举；合绊按合绊对柱位距离 1强/2中/3弱；severity=任一 pair 贴身∧无强合绊→存在，否则潜在,月柱丁伤官:exposedUnrooted；年柱辛正官:exposedRooted
22基线,B5,庚子 甲申 乙卯 丙子,51,中和,土,土、火、金,木、水,正官格·破格,伤官见官,潜在,时柱丙伤官 ↔ 年柱庚正官,天干同透伤官与正官，全 pair 枚举 1 对（贴身 0 对）,正官庚被乙合绊(d2，中)；伤官与正官远隔（不直接对贴）,若伤官丙（火）得根行旺或正官庚失其制化，伤官见官之势可能显化；当前正官庚被乙合绊(d2，中)、全对远隔。,v2：全 pair 枚举；合绊按合绊对柱位距离 1强/2中/3弱；severity=任一 pair 贴身∧无强合绊→存在，否则潜在,时柱丙伤官:exposedUnrooted；年柱庚正官:exposedRooted
22基线,B6,丙申 己亥 丁卯 壬寅,36,偏弱,木,木、火,土、金、水,正官格·成格,关键用神/格局节点受冲,潜在,年柱申 ↔ 时柱寅（印星之根；用神同五行）,六冲申寅命中；时柱寅（印星之根；用神同五行），位距3,无,若年柱申（庚金·正财）得运助增，对时柱寅（印星之根；用神同五行）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（庚金·正财）:hiddenMainRoot；时柱hour（甲木·正印）:hiddenMainRoot
22基线,B6,丙申 己亥 丁卯 壬寅,36,偏弱,木,木、火,土、金、水,正官格·成格,财印冲,潜在,年柱申（庚金） ↔ 时柱寅（甲木）,冲对主气一财一印，位距3,无,若财方年柱申（庚金·正财）进一步增强，财印相冲可能加重，印星根基可能进一步受扰。,v2：主气口径不变（中余气不独立触发）；补 partyEvidence,年柱申（庚金·正财）:hiddenMainRoot；时柱寅（甲木·正印）:hiddenMainRoot
六盘锚点,P15-09,丁丑 癸卯 庚申 丙戌,52,中和,水,水、木、火,土、金,正财格·破格,伤官见官,存在,月柱癸伤官 ↔ 年柱丁正官,天干同透伤官与正官，全 pair 枚举 1 对（贴身 1 对）,无,若伤官癸（水）得根行旺或正官丁失其制化，伤官见官之势可能显化；当前官星无合绊、存在贴身对贴。,v2：全 pair 枚举；合绊按合绊对柱位距离 1强/2中/3弱；severity=任一 pair 贴身∧无强合绊→存在，否则潜在,月柱癸伤官:exposedUnrooted；年柱丁正官:exposedUnrooted
六盘锚点,P15-09,丁丑 癸卯 庚申 丙戌,52,中和,水,水、木、火,土、金,正财格·破格,官杀混杂,潜在,年柱丁正官；时柱丙七杀,天干同透正官与七杀（双透口径；藏干不透不判混杂）,无,若正官丁或七杀丙进一步增强而制化不足，官杀混杂的反复/压力感可能加重。,v2：仅双透判（裁决第 6 条）；杀被五合绊仍判混杂、合绊入 mitigation（GPT 最终裁决第 2 条冻结）；severity=双透未合且贴邻→存在，否则潜在,年柱丁正官:exposedUnrooted；时柱丙七杀:exposedUnrooted
六盘锚点,P15-12,戊子 甲寅 庚申 丁亥,33,偏弱,土,土、金,木、火、水,偏财格·破格,财破印,存在,月柱甲（财）克 年柱戊（印）,财干元素克印干（全 pair 枚举 1 对）,无,若财星甲进一步增强而印星戊根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,月柱甲财:exposedRooted；年柱戊印:exposedUnrooted
六盘锚点,P15-12,戊子 甲寅 庚申 丁亥,33,偏弱,土,土、金,木、火、水,偏财格·破格,关键用神/格局节点受冲,存在,月柱寅（格局核心财之根） ↔ 日柱申,六冲寅申命中月柱寅（格局核心财之根），位距1、涉月令、涉日支,无,若日柱申（庚金·比肩）得运助增，对月柱寅（格局核心财之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,月柱month（甲木·偏财）:exposedRooted；日柱day（庚金·比肩）:exposedRooted
六盘锚点,P15-14,丙寅 庚寅 戊辰 癸亥,30,偏弱,土,土、火,木、水、金,食神制杀格·破格,财破印,潜在,时柱癸（财）克 年柱丙（印）,财干元素克印干（全 pair 枚举 1 对）,财星癸被戊合绊(d1，强),若财星癸进一步增强而印星丙根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,时柱癸财:exposedRooted；年柱丙印:exposedUnrooted
六盘锚点,P15-14,丙寅 庚寅 戊辰 癸亥,30,偏弱,土,土、火,木、水、金,食神制杀格·破格,枭夺食,存在,年柱丙（枭）克 月柱庚（食）,偏印元素克食神元素（全 pair 枚举 1 对）,无,若偏印丙进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,v2：全 pair 枚举；severity=任一 pair 贴身→存在，否则潜在（不查合绊，沿用 A1）,年柱丙枭:exposedUnrooted；月柱庚食:exposedUnrooted
六盘锚点,P15-15,癸未 戊午 乙卯 丙戌,31.75,偏弱,水,水,金、火、土、木,食神生财格·成格,财破印,潜在,月柱戊（财）克 年柱癸（印）,财干元素克印干（全 pair 枚举 1 对）,财星戊被癸合绊(d1，强),若财星戊进一步增强而印星癸根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,月柱戊财:exposedRooted；年柱癸印:exposedUnrooted
六盘锚点,P15-16,丁卯 壬寅 壬午 庚子,28,极弱,金,金,木、火、土、水,食神格·破格,财破印,潜在,年柱丁（财）克 时柱庚（印）,财干元素克印干（全 pair 枚举 1 对）,财星丁被壬合绊(d1，强),若财星丁进一步增强而印星庚根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,年柱丁财:exposedRooted；时柱庚印:exposedUnrooted
18专项,H01,癸未 戊午 乙卯 丙戌,31.75,偏弱,水,水,金、火、土、木,食神生财格·成格,财破印,潜在,月柱戊（财）克 年柱癸（印）,财干元素克印干（全 pair 枚举 1 对）,财星戊被癸合绊(d1，强),若财星戊进一步增强而印星癸根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,月柱戊财:exposedRooted；年柱癸印:exposedUnrooted
18专项,H02,戊辰 甲寅 丁亥 庚子,64,偏强,水,水、土、金,木、火,正印格·破格,财破印,潜在,时柱庚（财）克 月柱甲（印）,财干元素克印干（全 pair 枚举 1 对）,无,若财星庚进一步增强而印星甲根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,时柱庚财:exposedUnrooted；月柱甲印:exposedRooted
18专项,H04,甲申 庚午 辛卯 戊戌,26.5,极弱,金,金、土,木、火、水,七杀格·破格,财破印,潜在,年柱甲（财）克 时柱戊（印）,财干元素克印干（全 pair 枚举 1 对）,无,若财星甲进一步增强而印星戊根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,年柱甲财:exposedRooted；时柱戊印:exposedRooted
18专项,H05,庚子 乙酉 甲辰 甲子,21.5,极弱,水,水、木,火、土、金,正官格·破格,杀重无制,潜在,年柱庚,七杀透干1处；证据 3 项（e1当令、e2本气强根、e3多现）；七杀庚被乙合绊(d1，强),七杀庚被乙合绊(d1，强),若七杀庚再得根增强而制化不足，杀重无制之势可能加重；出现印化杀或食伤制杀则风险可能解除。,K2-final（GPT 最终裁决第 5/6/7 条）：证据≥2∧无制化∧无强合绊=存在；强合绊(d1)→潜在；证据=1→潜在；制化含中气根；K1 对照见 _p3_a2_sha_ab.csv,年柱庚七杀:exposedRooted
18专项,H06,乙巳 壬午 丁未 戊申,79,偏强,水,水、土、金,木、火,建禄格·成格,伤官见官,潜在,时柱戊伤官 ↔ 月柱壬正官,天干同透伤官与正官，全 pair 枚举 1 对（贴身 0 对）,正官壬被丁合绊(d1，强)；伤官与正官远隔（不直接对贴）,若伤官戊（土）得根行旺或正官壬失其制化，伤官见官之势可能显化；当前正官壬被丁合绊(d1，强)、全对远隔。,v2：全 pair 枚举；合绊按合绊对柱位距离 1强/2中/3弱；severity=任一 pair 贴身∧无强合绊→存在，否则潜在,时柱戊伤官:exposedRooted；月柱壬正官:exposedUnrooted
18专项,H08,丁酉 丙午 丁卯 庚戌,94,极强,水,水、土、金,木、火,建禄格·成格,关键用神/格局节点受冲,存在,年柱酉 ↔ 日柱卯（印星之根）,六冲酉卯命中；日柱卯（印星之根），位距2、涉日支,无,若年柱酉（辛金·偏财）得运助增，对日柱卯（印星之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（辛金·偏财）:hiddenMainRoot；日柱day（乙木·偏印）:hiddenMainRoot
18专项,H08,丁酉 丙午 丁卯 庚戌,94,极强,水,水、土、金,木、火,建禄格·成格,财印冲,存在,年柱酉（辛金） ↔ 日柱卯（乙木）,冲对主气一财一印，位距2、涉日支,无,若财方年柱酉（辛金·偏财）进一步增强，财印相冲可能加重，印星根基可能进一步受扰。,v2：主气口径不变（中余气不独立触发）；补 partyEvidence,年柱酉（辛金·偏财）:hiddenMainRoot；日柱卯（乙木·偏印）:hiddenMainRoot
18专项,H09,甲寅 壬申 壬辰 己酉,68.5,偏强,木,木、火、土,金、水,偏印格·破格,关键用神/格局节点受冲,存在,年柱寅（用神同五行；用神干甲之禄） ↔ 月柱申（印星之根）,六冲寅申命中年柱寅（用神同五行；用神干甲之禄）；月柱申（印星之根），位距1、涉月令,无,若月柱申（庚金·偏印）得运助增，对年柱寅（用神同五行；用神干甲之禄）的冲击可能加重；若年柱寅（甲木·食神）得运助增，对月柱申（印星之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（甲木·食神）:exposedRooted；月柱month（庚金·偏印）:hiddenMainRoot
18专项,H11,壬辰 癸卯 戊戌 丁巳,41,中和,土,土、火,木、金、水,正官格·破格,财破印,潜在,年柱壬（财）克 时柱丁（印）；月柱癸（财）克 时柱丁（印）,财干元素克印干（全 pair 枚举 2 对）,财星壬被丁合绊(d3，弱)；财星癸被戊合绊(d1，强),若财星壬进一步增强而印星丁根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,年柱壬财:exposedUnrooted；时柱丁印:exposedRooted；月柱癸财:exposedUnrooted
18专项,H11,壬辰 癸卯 戊戌 丁巳,41,中和,土,土、火,木、金、水,正官格·破格,关键用神/格局节点受冲,存在,年柱辰（用神同五行） ↔ 日柱戌（用神同五行）,六冲辰戌命中年柱辰（用神同五行）；日柱戌（用神同五行），位距2、涉日支,无,若日柱戌（戊土·比肩）得运助增，对年柱辰（用神同五行）的冲击可能加重；若年柱辰（戊土·比肩）得运助增，对日柱戌（用神同五行）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（戊土·比肩）:exposedRooted；日柱day（戊土·比肩）:exposedRooted
18专项,H14,乙丑 己丑 壬子 辛丑,22.5,极弱,金,金、水,木、火、土,正官格·破格,伤官见官,存在,年柱乙伤官 ↔ 月柱己正官,天干同透伤官与正官，全 pair 枚举 1 对（贴身 1 对）,无,若伤官乙（木）得根行旺或正官己失其制化，伤官见官之势可能显化；当前官星无合绊、存在贴身对贴。,v2：全 pair 枚举；合绊按合绊对柱位距离 1强/2中/3弱；severity=任一 pair 贴身∧无强合绊→存在，否则潜在,年柱乙伤官:exposedUnrooted；月柱己正官:exposedRooted
18专项,H16,丙辰 庚子 癸巳 庚申,98.5,极强,火,火、木、土,金、水,建禄格·成格,财破印,存在,年柱丙（财）克 月柱庚（印）；年柱丙（财）克 时柱庚（印）,财干元素克印干（全 pair 枚举 2 对）,无,若财星丙进一步增强而印星庚根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,年柱丙财:exposedRooted；月柱庚印:exposedRooted；时柱庚印:exposedRooted
18专项,H18,癸卯 己未 甲午 壬申,31,偏弱,木,木、水,火、土、金,正财格·成格,财破印,潜在,月柱己（财）克 年柱癸（印）；月柱己（财）克 时柱壬（印）,财干元素克印干（全 pair 枚举 2 对）,财星己被甲合绊(d1，强),若财星己进一步增强而印星癸根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,月柱己财:exposedRooted；年柱癸印:exposedUnrooted；时柱壬印:exposedUnrooted
合成观察,SY1,壬子 壬子 戊午 戊午,30,偏弱,土,土、火,木、金、水,正财格·破格,关键用神/格局节点受冲,存在,年柱子（格局核心财之根） ↔ 日柱午（印星之根）,六冲子午命中年柱子（格局核心财之根）；日柱午（印星之根），位距2、涉日支,无,若日柱午（丁火·正印）得运助增，对年柱子（格局核心财之根）的冲击可能加重；若年柱子（癸水·正财）得运助增，对日柱午（印星之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（癸水·正财）:hiddenMainRoot；日柱day（丁火·正印）:hiddenMainRoot
合成观察,SY1,壬子 壬子 戊午 戊午,30,偏弱,土,土、火,木、金、水,正财格·破格,关键用神/格局节点受冲,潜在,年柱子（格局核心财之根） ↔ 时柱午（印星之根）,六冲子午命中年柱子（格局核心财之根）；时柱午（印星之根），位距3,无,若时柱午（丁火·正印）得运助增，对年柱子（格局核心财之根）的冲击可能加重；若年柱子（癸水·正财）得运助增，对时柱午（印星之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（癸水·正财）:hiddenMainRoot；时柱hour（丁火·正印）:hiddenMainRoot
合成观察,SY1,壬子 壬子 戊午 戊午,30,偏弱,土,土、火,木、金、水,正财格·破格,关键用神/格局节点受冲,存在,月柱子（格局核心财之根） ↔ 日柱午（印星之根）,六冲子午命中月柱子（格局核心财之根）；日柱午（印星之根），位距1、涉月令、涉日支,无,若日柱午（丁火·正印）得运助增，对月柱子（格局核心财之根）的冲击可能加重；若月柱子（癸水·正财）得运助增，对日柱午（印星之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,月柱month（癸水·正财）:hiddenMainRoot；日柱day（丁火·正印）:hiddenMainRoot
合成观察,SY1,壬子 壬子 戊午 戊午,30,偏弱,土,土、火,木、金、水,正财格·破格,关键用神/格局节点受冲,存在,月柱子（格局核心财之根） ↔ 时柱午（印星之根）,六冲子午命中月柱子（格局核心财之根）；时柱午（印星之根），位距2、涉月令,无,若时柱午（丁火·正印）得运助增，对月柱子（格局核心财之根）的冲击可能加重；若月柱子（癸水·正财）得运助增，对时柱午（印星之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,月柱month（癸水·正财）:hiddenMainRoot；时柱hour（丁火·正印）:hiddenMainRoot
